COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;NRO_PRESU;ID_ELEM;VALOR_MO;VALOR_REPUESTO;CANT_HS_PINT;VALOR_MAT_PINT
901;1;12;4;8197383;4;9.52;0.00;8.56;49336.86
901;1;12;4;8199260;2;3.30;0.00;4.37;31020.05
901;1;12;4;8206134;1;0.00;0.00;0.00;0.00
901;1;12;4;8206267;1;0.00;0.00;0.42;11639.06
901;1;12;4;8207450;2;0.19;436595.24;0.08;1409.06
901;1;12;4;8210405;4;4.05;923008.03;4.96;56743.69
901;1;12;4;8213131;3;5.08;0.00;5.10;37367.42
901;1;12;4;8226995;1;0.14;436595.24;0.00;0.00
901;1;12;4;8231057;3;5.08;0.00;5.10;37367.42
901;1;12;4;8237388;7;7.38;1154123.01;6.10;54435.67
901;1;12;4;8244701;6;7.38;1232092.68;6.33;55762.33
901;1;12;4;8246379;1;1.60;0.00;1.90;16624.09
901;1;12;4;8248426;7;14.11;793240.80;11.27;78480.12
901;1;12;4;8251256;2;3.40;0.00;3.67;32114.75
901;1;12;4;8259640;3;3.88;0.00;4.54;32531.30
901;1;12;4;8270157;3;3.85;1078716.23;4.45;48178.33
901;1;12;4;8283676;5;12.92;1912960.50;10.67;87946.76
901;1;12;4;8285255;3;4.00;898006.69;4.19;46324.21
901;1;12;4;8287062;1;0.00;0.00;0.39;10845.46
901;1;12;4;8302614;7;12.86;3918937.52;10.00;125394.24
901;1;12;4;8306471;7;10.16;2231863.15;8.36;103422.69
901;1;12;4;8314380;2;4.10;0.00;4.79;50613.90
901;1;12;4;8314672;1;0.00;0.00;0.00;0.00
901;1;12;4;8325961;1;0.00;0.00;0.39;10845.46
901;1;14;2;8035390;5;5.90;403571.68;5.61;40085.18
901;1;15;2;7977910;3;2.66;0.00;1.68;9866.01
901;1;15;2;8246427;4;3.65;144914.48;4.39;26689.07
901;1;15;3;7977910;3;0.21;186540.68;0.56;12755.95
901;1;15;3;7978489;3;4.05;624816.19;4.39;47397.44
901;1;16;2;8001384;6;0.00;0.00;0.00;0.00
901;1;16;2;8008181;11;6.25;103856.54;4.38;31549.83
901;1;16;2;8018956;8;1.91;164662.32;1.85;13974.82
901;1;16;2;8040732;5;9.98;130059.38;5.20;33630.18
901;1;16;2;8054329;10;11.22;374117.42;5.16;35373.93
901;1;16;2;8061300;4;5.98;0.00;3.39;17194.26
901;1;16;2;8064267;5;5.28;5309.76;3.29;21667.95
901;1;16;2;8084286;1;0.00;0.00;0.36;9919.65
901;1;16;2;8141533;5;5.97;74563.36;6.30;40162.14
901;1;16;2;8196113;3;0.00;0.00;0.00;0.00
901;1;16;2;8206717;6;0.00;0.00;0.00;0.00
901;1;16;2;8235680;3;5.88;208810.83;3.39;17194.26
901;1;16;2;8302900;5;4.25;256378.05;3.39;25786.17
901;1;16;2;8305505;5;6.05;261908.44;3.39;25786.17
901;1;16;2;8332511;9;19.71;294721.57;15.88;123228.95
901;1;16;2;8338851;8;12.53;481458.13;3.35;50344.47
901;1;16;3;8001384;2;0.00;0.00;0.00;0.00
901;1;16;3;8008181;2;0.00;0.00;0.00;0.00
901;1;16;3;8040732;4;4.46;0.00;3.92;31155.41
901;1;16;3;8061300;2;0.00;0.00;0.00;0.00
901;1;16;3;8084286;3;7.08;33409.73;4.38;32025.86
901;1;16;3;8084858;1;0.00;0.00;0.34;9390.58
901;1;16;3;8114210;1;0.00;0.00;0.34;9390.58
901;1;16;3;8196113;4;0.00;0.00;0.00;0.00
901;1;16;3;8302900;1;3.30;0.00;2.58;19597.49
901;1;16;3;8338851;2;0.00;0.00;0.00;0.00
901;1;16;4;7984225;1;0.00;0.00;0.00;0.00
901;1;16;4;8001384;3;0.00;0.00;0.00;0.00
901;1;16;4;8008181;1;0.00;0.00;0.00;0.00
901;1;16;4;8054329;5;6.69;106195.23;4.73;35364.26
901;1;16;4;8054529;1;0.00;0.00;0.34;9390.58
901;1;16;4;8061300;2;7.85;173611.30;5.90;54278.22
901;1;16;4;8084858;1;0.00;0.00;0.34;9390.58
901;1;16;4;8196113;4;0.00;0.00;0.00;0.00
901;1;16;4;8206717;8;10.22;159889.44;6.74;50537.28
901;1;16;4;8227259;12;6.18;383018.73;4.73;42840.88
901;1;16;4;8338851;3;0.00;0.00;0.27;7538.91
901;1;17;2;7998190;8;11.93;171821.48;4.87;40924.72
901;1;17;2;8002162;1;0.00;0.00;0.12;3168.79
901;1;17;2;8011038;12;12.86;309475.79;4.64;40346.85
901;1;17;2;8015892;5;7.72;42680.99;2.04;11115.00
901;1;17;2;8019636;1;2.25;119320.48;0.00;0.00
901;1;17;2;8044758;9;4.65;90981.86;1.73;15979.04
901;1;17;2;8055839;20;11.52;580124.40;4.92;45208.92
901;1;17;2;8086817;7;7.68;58669.87;3.81;24168.30
901;1;17;2;8096829;21;13.29;365240.15;4.97;42281.45
901;1;17;2;8121695;16;13.47;415235.26;7.13;65254.92
901;1;17;2;8154164;6;8.67;14915.12;2.96;19512.36
901;1;17;2;8308264;17;14.58;574981.75;6.79;62515.40
901;1;17;2;8334326;1;0.00;0.00;0.12;3168.79
901;1;17;3;8002162;6;9.47;256419.64;6.01;54911.82
901;1;17;3;8015892;1;0.00;0.00;0.24;6745.37
901;1;17;3;8044758;1;4.26;0.00;2.83;14328.54
901;1;17;3;8096829;2;0.00;0.00;0.00;0.00
901;1;17;3;8241508;3;4.81;0.00;2.86;18257.16
901;1;17;3;8308264;1;0.00;0.00;0.28;7803.44
901;1;17;4;8034151;3;7.01;0.00;3.89;21947.27
901;1;17;4;8096829;2;0.00;0.00;0.00;0.00
901;1;17;4;8146656;3;4.68;107388.43;4.28;43760.97
901;1;17;4;8154164;1;2.30;0.00;1.75;10277.43
901;1;17;4;8173795;2;3.30;14318.46;2.31;9704.45
901;1;17;4;8241508;4;4.81;20881.08;2.86;18257.16
901;1;17;4;8308264;1;0.00;0.00;0.24;6745.37
901;1;17;4;8334326;3;5.65;334514.90;3.63;46436.96
901;1;18;2;7998190;8;11.93;171821.48;4.87;40924.72
901;1;18;2;8010294;2;0.00;0.00;0.00;0.00
901;1;18;2;8044758;9;4.65;90981.86;1.73;15979.04
901;1;18;2;8143978;4;0.00;0.00;0.00;0.00
901;1;18;2;8175081;8;10.23;253556.01;5.15;33239.95
901;1;18;2;8199120;6;7.36;74813.93;2.47;19563.00
901;1;18;2;8206680;9;11.02;306713.29;4.85;42160.40
901;1;18;3;8002853;1;0.00;0.00;0.35;9522.85
901;1;18;3;8010294;1;0.00;0.00;0.35;9522.85
901;1;18;3;8044758;1;4.26;0.00;2.83;14328.54
901;1;18;3;8065079;4;4.00;124630.24;3.61;38715.20
901;1;18;3;8241508;3;4.81;0.00;2.86;18257.16
901;1;18;3;8256550;5;4.00;530379.51;3.61;38715.20
901;1;18;4;8010294;2;0.00;0.00;0.00;0.00
901;1;18;4;8146656;3;4.68;107388.43;4.28;43760.97
901;1;18;4;8199120;1;1.38;0.00;1.35;11806.88
901;1;18;4;8206680;1;0.00;0.00;0.00;0.00
901;1;18;4;8241508;4;4.81;20881.08;2.86;18257.16
901;1;19;4;8137478;5;8.30;710772.93;5.94;60727.21
901;1;20;2;7981758;26;21.90;551725.96;11.29;103724.21
901;1;20;2;8017786;3;5.85;56677.22;3.96;16649.80
901;1;20;2;8036216;13;28.97;292286.36;12.17;87521.62
901;1;20;2;8074937;5;0.00;0.00;0.00;0.00
901;1;20;2;8130057;8;2.20;69647.36;0.99;5803.75
901;1;20;2;8145119;8;4.31;87939.17;1.50;8816.41
901;1;20;2;8165857;4;1.96;0.00;3.00;17632.88
901;1;20;2;8193534;1;0.00;0.00;0.42;9605.54
901;1;20;2;8219752;6;2.40;109774.85;0.95;8264.85
901;1;20;2;8240115;3;1.41;0.00;1.89;16529.64
901;1;20;2;8243307;9;8.08;195208.30;3.57;30921.48
901;1;20;2;8250840;2;0.00;0.00;0.00;0.00
901;1;20;2;8285641;13;13.07;430777.05;8.53;59751.70
901;1;20;2;8311148;13;6.39;239457.53;2.67;29887.51
901;1;20;2;8320900;4;7.72;71592.35;4.41;34068.20
901;1;20;2;8329963;9;10.01;157652.18;4.39;47333.36
901;1;20;3;7981758;2;0.00;0.00;0.00;0.00
901;1;20;3;8009974;6;12.83;195685.58;6.90;63513.70
901;1;20;3;8017786;5;4.58;32813.13;2.32;22166.82
901;1;20;3;8036216;3;3.85;90683.56;3.00;33221.03
901;1;20;3;8074937;4;3.08;0.00;2.68;17229.46
901;1;20;3;8250840;2;0.00;0.00;0.00;0.00
901;1;20;4;7981758;2;0.00;0.00;0.00;0.00
